,Unnamed: 0,Player,Age,MP,Min_Playing_Time,Mins_Per_90_Playing_Time,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per_Minutes,Ast_Per_Minutes,G+A_Per_Minutes,G_minus_PK_Per_Minutes,G+A_minus_PK_Per_Minutes
0,1,Marquinhos,27,14,1181.0,13.1,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15
1,2,Danilo,30,13,1128.0,12.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
2,3,Lucas Paquetá,24,14,955.0,10.6,3.0,1.0,3.0,0.0,0.0,3.0,0.0,0.28,0.09,0.38,0.28,0.38
3,4,Neymar,29,10,900.0,10.0,8.0,8.0,4.0,4.0,4.0,4.0,0.0,0.8,0.8,1.6,0.4,1.2
4,5,Thiago Silva,37,11,900.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,Alex Sandro,31,10,811.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,Casemiro,29,9,788.0,8.8,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11
7,8,Alisson,29,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,Éder Militão,24,8,700.0,7.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,Fred,28,8,589.0,6.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15
10,11,Gabriel Jesus,24,11,607.0,6.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.0,0.3
11,12,Fabinho,28,9,535.0,5.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,Richarlison,24,8,530.0,5.9,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.02,0.0,1.02,1.02,1.02
13,14,Ederson,28,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,Gabriel Barbosa,25,8,437.0,4.9,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.41,0.0,0.41,0.21,0.21
15,16,Raphinha,25,7,419.0,4.7,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.64,0.43,1.07,0.64,1.07
16,17,Roberto Firmino,30,6,405.0,4.5,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.67,0.22,0.89,0.67,0.89
17,18,Vinicius Júnior,21,7,404.0,4.5,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.22,0.0,0.22,0.22,0.22
18,19,Philippe Coutinho,29,6,329.0,3.7,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.82,0.0,0.82,0.55,0.55
19,20,Everton Ribeiro,32,9,396.0,4.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45
20,21,Wéverton,34,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,Douglas Luiz,23,6,352.0,3.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,Renan Lodi,23,4,323.0,3.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.56
23,24,Matheus Cunha,22,6,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,Antony,21,9,321.0,3.6,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.56,0.28,0.84,0.56,0.84
25,26,Dani Alves,38,4,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27,Gerson,24,4,230.0,2.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,Alex Telles,29,5,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29,Guilherme Arana,24,3,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,Lucas Veríssimo,26,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,Bruno Guimarães,24,6,176.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.51,1.02,1.53,0.51,1.53
31,32,Emerson,23,3,123.0,1.4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
32,33,Everton Soares,25,5,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,Arthur Melo,25,2,104.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.87,0.0,0.87,0.87,0.87
